id,author,title,series,series_num,isbn,cover_id,ol_key
1,"Adams, Douglas",Dirk Gently's Holistic Detective Agency,,,9780671746728,8294095,/works/OL2163628W
2,"Adams, Douglas",Hitchhiker's Guide to the Galaxy,,,9781602833067,14820471,/works/OL38839155W
3,"Adams, Douglas","So Long, and Thanks for all the Fish",,,9781509844906,12817552,/works/OL2163719W
4,"Bachman, Richard","Regulators, The",,,9780786208456,14653990,/works/OL2794726W
5,"Baldacci, David","6:20 Man, The",,,9781529061970,14624537,/works/OL26831331W
6,"Baldacci, David","Camel Club, The",,,9780446577380,12659855,/works/OL41247W
7,"Baldacci, David","Christmas Train, The",,,9781582881485,14423657,/works/OL41248W
8,"Baldacci, David","Collectors, The",,,9780446698627,14538271,/works/OL41256W
9,"Baldacci, David",Daylight,,,9781509874576,12659815,/works/OL21177849W
10,"Baldacci, David",Deliver Us From Evil,,,9781616642709,12659790,/works/OL14949682W
11,"Baldacci, David",Divine Justice,,,9781607510369,14894661,/works/OL14949693W
12,"Baldacci, David",End Game,,,9781538712948,14553040,/works/OL19356256W
13,"Baldacci, David","Escape, The",,,9781455589470,13012448,/works/OL17124774W
14,"Baldacci, David","Fallen, The",,,9781509874231,12817000,/works/OL19732599W
15,"Baldacci, David","Finisher, The",,,9780545722322,14624569,/works/OL17062899W
16,"Baldacci, David",First Family,,,9780330517812,10601212,/works/OL14949720W
17,"Baldacci, David","Fix, The",,,9781447277439,12657131,/works/OL19356257W
18,"Baldacci, David","Forgotten, The",,,9781447227618,14553046,/works/OL16769292W
19,"Baldacci, David","Gambling Man, A",,,9781538719688,12856738,/works/OL21933174W
20,"Baldacci, David","Guilty, The",,,9781629537269,12659867,/works/OL17359392W
21,"Baldacci, David","Hit, The",,,9781306745109,14417487,/works/OL17395758W
22,"Baldacci, David",Hell's Corner,,,9781447226550,14624492,/works/OL15374104W
23,"Baldacci, David",Hour Game,,,9780446616492,14353515,/works/OL41245W
24,"Baldacci, David","Innocent, The",,,9781509827282,14553042,/works/OL16521440W
25,"Baldacci, David",King and Maxwell,,,9781447225300,12659650,/works/OL17062554W
26,"Baldacci, David",Last Man Standing,,,9780743428958,14624573,/works/OL41254W
27,"Baldacci, David","Last Mile, The",,,9781509820368,12992909,/works/OL17357359W
28,"Baldacci, David",Long Road to Mercy,,,9781509874361,12659727,/works/OL19754740W
29,"Baldacci, David",Long Shadows,,,9781538719824,14425739,/works/OL27302185W
30,"Baldacci, David",Memory Man,,,9781509839292,14553041,/works/OL17321263W
31,"Baldacci, David",No Man's Land,,,9781683312345,14624497,/works/OL20036179W
32,"Baldacci, David",One Good Deed,,,9781538750568,14815350,/works/OL20062269W
33,"Baldacci, David",Redemption,,,9781538761458,12774138,/works/OL19671869W
34,"Baldacci, David",Saving Faith,,,9780330419680,12658667,/works/OL41243W
35,"Baldacci, David",Simple Genius,,,9780446581738,9296976,/works/OL41250W
36,"Baldacci, David","Simple Truth, The",,,9780786216956,12856742,/works/OL41252W
37,"Baldacci, David","Sixth Man, The",,,9781455500215,12659741,/works/OL15662421W
38,"Baldacci, David",Split Second,,,9780446533126,6639205,/works/OL41246W
39,"Baldacci, David",Stone Cold,,,9780446577397,14624579,/works/OL41249W
40,"Baldacci, David","Target, The",,,9781447225294,11725792,/works/OL17725006W
41,"Baldacci, David",Total Control,,,9780446604840,14351213,/works/OL41255W
42,"Baldacci, David",True Blue,,,9780446561976,9296967,/works/OL14949721W
43,"Baldacci, David",Walk the Wire,,,9781509874521,15176856,/works/OL20663350W
44,"Baldacci, David","Winner, The",,,9780330419666,10588996,/works/OL41244W
45,"Baldacci, David",Wish You Well,,,9780446677592,12855933,/works/OL41260W
46,"Baldacci, David","Whole Truth, The",,,9780330456524,10601149,/works/OL41251W
47,"Baldacci, David",Zero Day,,,9781455518999,12656781,/works/OL16134604W
48,"Bernhardt, William",Capitol Murder,,,9780345451507,210563,/works/OL114364W
49,"Bernhardt, William",Criminal Intent,,,9780345441737,210079,/works/OL114365W
50,"Bernhardt, William",Death Row,,,9780345441744,210080,/works/OL114354W
51,"Bernhardt, William",Hate Crime,,,9780345451477,210560,/works/OL114370W
52,"Berry, Steve","Amber Room, The",,,9780345460042,6722041,/works/OL16025245W
53,"Berry, Steve","Romanov Prophecy, The",,,9780375434204,1189093,/works/OL5735299W
54,"Berry, Steve","Third Secret, The",,,9780345476135,211610,/works/OL5735303W
55,"Berry, Steve",The Venetian Betrayal,Cotton Malone,3,9780345485779,6646828,/works/OL5735300W
56,"Berry, Steve","Charlemagne Pursuit, The",Cotton Malone,4,9780345485793,6307103,/works/OL5735297W
57,"Berry, Steve",The Emperor's Tomb,Cotton Malone,6,9781444709360,10251215,/works/OL19943528W
58,"Berry, Steve",The Jefferson Key,Cotton Malone,7,9780345505514,6935418,/works/OL15921447W
59,"Berry, Steve","Kings deception, The",,8,9781444740837,7665008,/works/OL17481607W
60,"Berry, Steve","Lincoln Myth, The",Cotton Malone,9,9781444796452,10216504,/works/OL18021089W
61,"Berry, Steve",The Patriot Threat,Cotton Malone,10,9781250056238,11322367,/works/OL19995226W
62,"Berry, Steve","14th Colony, The",Cotton Malone,11,9781250056245,8110347,/works/OL17820224W
63,"Berry, Steve","Bishop's Pawn, The",,13,9781250140241,10113031,/works/OL20158834W
64,"Berry, Steve",The Malta Exchange,Cotton Malone,14,9781250140265,8802098,/works/OL20157011W
65,"Berry, Steve","Warsaw Protocol, The",,15,9781529390940,11357566,/works/OL24662171W
66,"Berry, Steve","Kaiser's Web, The",,16,9781250140340,10199449,/works/OL20876944W
67,"Box, C.J.",Badlands,,,9781250829436,11532658,/works/OL20309510W
68,"Box, C.J.",Three Weeks to Say Goodbye,,,9780312365721,9473817,/works/OL5727267W
69,"Box, C.J.",Treasure State,,,9781804540923,14777114,/works/OL24826244W
71,"Box, C.J.",Open Season,Joe Pickett,1,9781848878365,11419899,/works/OL24214753W
72,"Box, C.J.",Savage Run,Joe Pickett,2,9780593085318,10492041,/works/OL21502137W
73,"Box, C.J.",Winter kill,Joe Pickett,3,9781402556883,13073833,/works/OL5727263W
74,"Box, C.J.",Trophy Hunt,,4,9780786270521,1472398,/works/OL5727262W
75,"Box, C.J.",Out of Range,,5,9780425209455,273535,/works/OL5727260W
76,"Box, C.J.",In Plain Sight,,6,9780399153600,259316,/works/OL5727270W
77,"Box, C.J.",Blood Trail,,8,9780399154881,6911784,/works/OL5727253W
78,"Box, C.J.",Below Zero,Joe Pickett,9,9780399155758,6885652,/works/OL5727264W
79,"Box, C.J.",Nowhere to Run,Joe Pickett,10,9780399156458,7892503,/works/OL14907292W
80,"Box, C.J.",Cold Wind,,11,9780399157356,6684802,/works/OL15673311W
81,"Box, C.J.",Force of Nature,,12,9780399158261,10159932,/works/OL16361369W
82,"Box, C.J.",Breaking Point,,13,9780399160752,11762472,/works/OL17202960W
83,"Box, C.J.",Stone Cold,Joe Pickett,14,9781785410567,11721273,/works/OL17752813W
84,"Box, C.J.","Bitterroots, The",,,9781250220295,8755750,/works/OL20088278W
85,"Box, C.J.",Shots Fired,Joe Pickett,14.5,9780399158582,14815388,/works/OL19983003W
86,"Box, C.J.",Endangered,,15,9780399160776,10213973,/works/OL19993235W
87,"Box, C.J.",Vicious Circle,Joe Pickett,17,9780735218512,14832083,/works/OL17877980W
88,"Box, C.J.","Disappeared, The",Joe Pickett,18,9781784973186,10187630,/works/OL19732593W
89,"Box, C.J.",Wolf Pack,Joe Pickett,19,9781984882806,8798402,/works/OL20153438W
90,"Box, C.J.",Long Range,Joe Pickett,20,9781788549295,14681574,/works/OL21655743W
91,"Box, C.J.",Dark Sky,Joe Pickett,21,9780525538271,10582533,/works/OL21711178W
92,"Box, C.J.",Shadow Reel,Joe Pickett,22,9781803283937,14760480,/works/OL24607089W
93,"Box, C.J.",Free Fire,,,9780399154270,4617809,/works/OL5727256W
94,"Box, C.J.","Highway, The",Highway,2,9781427266125,8968953,/works/OL20308685W
95,"Box, C.J.",Paradise Valley,Highway,4,9781250051042,14504787,/works/OL20056040W
